
298481,10813.01,78.33
299483,10728.75,78.57
300484,10645.16,78.82
301487,10603.62,78.94
302488,10562.25,79.07
303490,10521.04,79.19
304491,10480.00,79.31
305492,10439.12,79.43
306494,10398.41,79.56
307496,10317.46,79.80
308498,10237.15,80.05
309499,10197.24,80.17
310501,10117.88,80.42
311502,10078.43,80.54
312504,10039.14,80.67
313505,10000.00,80.79
314508,9922.18,81.04
315509,9883.50,81.16
316511,9806.58,81.41
317512,9768.34,81.54
318514,9730.25,81.66
319515,9616.86,82.03
320517,9616.86,82.03
321518,9579.35,82.16
322521,9579.35,82.16
323522,9541.98,82.28
324524,9541.98,82.28
325525,9504.76,82.41
326526,9504.76,82.41
327528,9504.76,82.41
328529,9430.74,82.66
329531,9393.94,82.79
330533,9357.28,82.91
331535,9320.75,83.04
332536,9320.75,83.04
333538,9284.37,83.16
334539,9248.12,83.29
335541,9248.12,83.29
336542,9176.03,83.54
337544,9140.19,83.67
338545,9068.90,83.92
339548,8998.14,84.17
340549,8962.96,84.30
341551,8927.91,84.42
342552,8927.91,84.42
343554,8892.99,84.55
344555,8892.99,84.55
345556,8892.99,84.55
346558,8823.53,84.81
347559,8823.53,84.81
348562,8788.99,84.93
349563,8788.99,84.93
350565,8754.58,85.06
351566,8720.29,85.19
352568,8720.29,85.19
353569,8720.29,85.19
354571,8686.13,85.32
355572,8686.13,85.32
356574,8652.09,85.44
357575,8618.18,85.57
358578,8584.39,85.70
359579,8584.39,85.70
360581,8550.72,85.83
361582,8550.72,85.83
362584,8517.18,85.96
363585,8517.18,85.96
364587,8483.75,86.08
365588,8483.75,86.08
366589,8483.75,86.08
367591,8483.75,86.08
368593,8483.75,86.08
369595,8517.18,85.96
370596,8517.18,85.96
371598,8483.75,86.08
372599,8483.75,86.08
373601,8483.75,86.08
374602,8483.75,86.08
375604,8483.75,86.08
376605,8483.75,86.08
377607,8483.75,86.08
378609,8483.75,86.08
379611,8483.75,86.08
380612,8483.75,86.08
381614,8483.75,86.08
382615,8483.75,86.08
383617,8483.75,86.08
384618,8483.75,86.08
385619,8517.18,85.96
386621,8483.75,86.08
387622,8450.45,86.21
388625,8417.27,86.34
389626,8384.20,86.47
390628,8384.20,86.47
391629,8351.25,86.60
392631,8351.25,86.60
393632,8318.43,86.73
394634,8351.25,86.60
395635,8318.43,86.73
396637,8318.43,86.73
397638,8318.43,86.73
398641,8285.71,86.86
399642,8285.71,86.86
400644,8285.71,86.86
401645,8285.71,86.86
402647,8285.71,86.86
403648,8285.71,86.86
404649,8253.12,86.99
405651,8220.64,87.12
406652,8220.64,87.12
407654,8253.12,86.99
408656,8285.71,86.86
409658,8285.71,86.86
410659,8318.43,86.73
411661,8318.43,86.73
412662,8318.43,86.73
413664,8285.71,86.86
414665,8285.71,86.86
415667,8318.43,86.73
416668,8318.43,86.73
417671,8318.43,86.73
418672,8318.43,86.73
419674,8318.43,86.73
420675,8318.43,86.73
421677,8351.25,86.60
422678,8351.25,86.60
423680,8351.25,86.60
424681,8318.43,86.73
425682,8351.25,86.60
426684,8417.27,86.34
427686,8517.18,85.96
428688,8550.72,85.83
429689,8618.18,85.57
430691,8720.29,85.19
431692,8858.20,84.68
432694,9140.19,83.67
